id,file_name,vizwiz_url,text_detected,unrecognizable_orig,blur_orig,framing_orig,rotation_orig,obstruction_orig,too_dark_orig,too_bright_orig,other_orig,image_type,unrecognizable,blur,framing,rotation,obstruction,too dark,too bright,other,rounded_label,text_panel,product,brand,variety
2,VizWiz_train_00000002.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000002.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,crushed; tomatoes,price chopper,puree
6,VizWiz_train_00000006.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000006.jpg,True,0,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,antiseptic; mouthrinse,equate,citrus; tartar protection
39,VizWiz_train_00000039.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000039.jpg,True,0,0,1,1,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,dressing & seasoning mix,hidden valley farmhouse originals,homestyle italian
61,VizWiz_train_00000061.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000061.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,tortilla chips,garden of eatin',blue corn
73,VizWiz_train_00000073.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000073.jpg,True,0,1,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,cough drops,premier value,honey; lemon
97,VizWiz_train_00000097.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000097.jpg,True,0,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,water,nestl̩,pure life
111,VizWiz_train_00000111.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000111.jpg,True,0,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,beer,modelo,especial
144,VizWiz_train_00000144.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000144.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,bath; salts,mildeen,marine
159,VizWiz_train_00000159.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000159.jpg,True,0,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,apple; juice,minute maid,gushin' green apple
169,VizWiz_train_00000169.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000169.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,evaporated milk,bonny,low fat
198,VizWiz_train_00000198.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000198.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,hot chocolate,swiss miss,milk chocolate
224,VizWiz_train_00000224.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000224.jpg,True,0,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,deluxe mixed nuts,delish,salted & roasted; no peanuts
291,VizWiz_train_00000291.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000291.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,coffee cup,seattle's best coffee,
294,VizWiz_train_00000294.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000294.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,meal,lite n' easy,savoury beef rissoles
309,VizWiz_train_00000309.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000309.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,granola; bar,quaker,chocolate chunk
327,VizWiz_train_00000327.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000327.jpg,True,0,0,1,4,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,liqueur,dekuyper,buttershots; butterscotch schnapps
334,VizWiz_train_00000334.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000334.jpg,True,0,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,cream of mushroom,campbell's,
342,VizWiz_train_00000342.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000342.jpg,True,0,0,1,1,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,granola; bar,kashi,trail mix
351,VizWiz_train_00000351.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000351.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,almond milk,blue diamond almonds,unsweetened; vanilla
394,VizWiz_train_00000394.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000394.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,aromatic wax,scentsy,ambrosia
427,VizWiz_train_00000427.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000427.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,multi insect; killer,mortein,
475,VizWiz_train_00000475.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000475.jpg,True,1,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,body; butter,the body shop,shea
561,VizWiz_train_00000561.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000561.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,instant coffee,nescafe,traditional
644,VizWiz_train_00000644.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000644.jpg,True,0,1,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,seasoning,best choice,chili
645,VizWiz_train_00000645.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000645.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,soup,swanson,chicken broth
652,VizWiz_train_00000652.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000652.jpg,True,0,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,supplement,fiber-n-mor,
662,VizWiz_train_00000662.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000662.jpg,True,1,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,whole; new; potatoes,del monte,
668,VizWiz_train_00000668.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000668.jpg,True,0,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,(pastry),asda,bakewell tart
670,VizWiz_train_00000670.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000670.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,True,(fruit cup),mott's fruitsations,peach; apple; carrot
703,VizWiz_train_00000703.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000703.jpg,True,0,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,briefs,claiborne,men's
733,VizWiz_train_00000733.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000733.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,shaving gel,gillette,moisturizing
758,VizWiz_train_00000758.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000758.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,pretzel; pieces,snyder's of hanover,jalape̱o
776,VizWiz_train_00000776.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000776.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,(soda),pepsi,max; zero calories
794,VizWiz_train_00000794.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000794.jpg,True,0,1,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,soup,campbell's,tomato
862,VizWiz_train_00000862.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000862.jpg,True,0,1,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,cereal,post; honey bunches of oats,almonds; family size
898,VizWiz_train_00000898.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000898.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,cut; broccoli,roundy's,steam n' serve
930,VizWiz_train_00000930.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000930.jpg,True,0,0,0,4,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,corn,great value,golden sweet whole kernel
976,VizWiz_train_00000976.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000976.jpg,True,0,0,1,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,True,False,baked beans; sausages,asda; smart price,in tomato sauce
978,VizWiz_train_00000978.jpg,https://vizwiz.cs.colorado.edu/VizWiz_visualization_img/VizWiz_train_00000978.jpg,True,0,0,0,0,0,0,0,0,high-quality,False,False,False,False,False,False,False,False,False,False,,teddy grahams,honey
